Dates,KATE US Equity,KBH US Equity,KDP US Equity,KEY US Equity,KEYS US Equity,KHC UW Equity,KIM US Equity,KLAC UQ Equity,KLAC UW Equity,KMB US Equity,KMI US Equity,KMRTQ US Equity,KMX US Equity,KO US Equity,KR US Equity,KRB US Equity,KRFT UW Equity,KRI US Equity,KSE US Equity,KSS US Equity,KSU US Equity,L US Equity,LDG US Equity,LDOS US Equity,LDWIF US Equity,LEG US Equity,LEHMQ US Equity,LEN US Equity,LHX US Equity,LIN US Equity,LKQ UW Equity,LLTC UQ Equity,LLTC UW Equity,LLY US Equity,LM US Equity,LMT US Equity,LNC US Equity,LNT US Equity,LNT UW Equity,LO US Equity,LOW US Equity,LPX US Equity,LRCX UW Equity,LUMN US Equity,LUV US Equity,LVLT US Equity,LVS US Equity,LW US Equity,LXK US Equity,LYB US Equity,M US Equity,MA US Equity,MAA US Equity,MAC US Equity,MAR US Equity,MAR UW Equity,MAS US Equity,MAT US Equity,MAT UW Equity,MBI US Equity,MCD US Equity,MCHP UW Equity,MCK US Equity,MCO US Equity,MDLZ US Equity,MDLZ UW Equity,MDP US Equity,MDRIQ US Equity,MDT US Equity,MEE US Equity,MEL US Equity,MER US Equity,MET US Equity,META UW Equity,MFE US Equity,MGM US Equity,MHK US Equity,MHS US Equity,MIRKQ US Equity,MJN US Equity,MKC US Equity,MKG US Equity,MKTX UW Equity,MLM US Equity,MMM US Equity,MNKKQ US Equity,MNST UW Equity,MO US Equity,MOLX UQ Equity,MOLX UW Equity,MOS US Equity,MPC US Equity,MRK US Equity,MRO US Equity,MRSH US Equity,MS US Equity,MSCI US Equity,MSFT UQ Equity,MSFT UW Equity,MSI US Equity,MTB US Equity,MTD US Equity,MTG US Equity,MTLQQ US Equity,MTW US Equity,MU US Equity,MU UW Equity,MUR US Equity,MWI US Equity,MWV US Equity,MWW US Equity,MWW UQ Equity,MWW UW Equity,MXIM UQ Equity,MXIM UW Equity,MYL US Equity,MYL UW Equity,MZIAQ US Equity,NAV US Equity,NAVI UW Equity,NBL US Equity,NBR US Equity,NBR UA Equity,NC US Equity,NCC US Equity,NCE US Equity,NCLH US Equity,NDAQ UW Equity,NEBLQ US Equity,NEE US Equity,NEM US Equity,NFB US Equity,NFLX UW Equity,NFX US Equity,NGH US Equity,NI US Equity,NKE US Equity,NKTR UW Equity,NLSN US Equity,NMK US Equity,NOC US Equity,NOV US Equity,NOVL UQ Equity,NOVL UW Equity,NRG US Equity,NRTLQ US Equity,NSC US Equity,NTAP UQ Equity,NTAP UW Equity,NTRS UQ Equity,NTRS UW Equity,NUE US Equity,NVDA UQ Equity,NVDA UW Equity,NVR US Equity,NWL US Equity,NWL UW Equity,NWS UW Equity,NWSA UW Equity,NXTL UQ Equity,NYT US Equity,O US Equity,OAT US Equity,OI US Equity,OK US Equity,OKE US Equity,OMC US Equity,OMX US Equity,ORCL US Equity,ORCL UQ Equity,ORCL UW Equity,ORLY UW Equity,ORX US Equity,OWENQ US Equity,OXY US Equity,PALM UQ Equity,PARA US Equity,PARA UA Equity,PAYX UQ Equity,PAYX UW Equity,PBCT UW Equity,PBG US Equity,PBI US Equity,PCAR UQ Equity,PCAR UW Equity,PCG US Equity,PCH US Equity,PCP US Equity,PDCO UQ Equity,PDCO UW Equity,PDG US Equity,PEG US Equity,PEP US Equity,PEP UW Equity,PETM UW Equity,PFE US Equity,PFG US Equity,PFG UW Equity,PG US Equity,PGL US Equity,PGR US Equity,PH US Equity,PHM US Equity,PKG US Equity,PLD US Equity,PM US Equity,PMCS UQ Equity,PMCS UW Equity,PNC US Equity,PNR US Equity,PNW US Equity,PPG US Equity,PPL US Equity,PPW US Equity,PRDCQ US Equity,PRGO US Equity,PRGO UW Equity,PRU US Equity,PSA US Equity,PSX US Equity,PTC UQ Equity,PTC UW Equity,PTV US Equity,PVH US Equity,PVN US Equity,PWR US Equity,PXD US Equity,PYPL UW Equity,QCOM UQ Equity,QCOM UW Equity,QEP US Equity,QLGC UQ Equity,Low High Yield OAS,NonFarm ManufacturingWeekly hours,30Y T-Yield,MSCI Low Size,Total New Housing Started (000s),NonFarm Payroll (000s),Personal Income exl. Transfer,BCOM,CBOE Total Put-Call Ratio,Fear-Greed,MSCI Value,MSCI Momentum,MSCI Low Vol,MSCI High Div Yield
1/29/1999,19.0938,14.0938,,31.875,,,13,28.875,28.875,46.9386,,17.5625,2.4375,32.6563,15.875,18.625,,47.75,27.0625,33.875,2.9866,14.031,38.3125,,8.5,20.5,13.6719,12.4308,15.1983,16.1563,,25.4375,25.4375,93.688,19.8333,35.25,41.6563,14.4688,,,14.5781,20.0625,1.2792,45.3333,11.9722,785.6211,,,56.7188,,20.9063,,23.1875,22.7982,16.3752,,28.3442,22.6875,,43.7083,39.406,4.2778,75,11.4836,,,37.25,10.6781,39.8438,9.361,33.5,37.9375,,,52.375,7.625,38.5,,,,7.375,34.9375,,53,32.45,,0.048,10.8497,23.75,23.75,18.1875,,66.2188,6.9053,31.4375,35.9544,,43.75,43.75,88.2801,50,26.5,36.625,74.8668,5.6004,39,,7.8747,11.5625,,28.1086,28.1086,28.1086,25.7188,25.7188,13.5556,,169.4271,34.0625,,4.9219,312.5,312.5,6.1627,35.5313,44,,,5.8546,6.8594,17.6875,14,,9.3125,17.9297,10.659,5.6875,250.3112,,15.3125,25.855,4.3934,20.375,20.375,,157.8125,27.5625,13.25,13.25,43.2813,43.2813,12.25,0.0396,0.0396,44.5,41.5625,,,,16,34.3125,11.56,55.625,29.25,39.0023,6.4018,32,30.0625,9.2292,9.2292,9.2292,0.829,12.1875,35.75,7.2843,,31.3535,31.3535,21.6389,21.6389,5.754,,67.1536,5.7449,5.7449,31.9375,28.6845,9.484,10.5938,10.5938,11.1875,19.7813,39,,9,40.6433,,,45.4375,34.3125,10.4115,20.5,7.5938,,22.125,,18.5781,18.5781,51.1875,12.8429,40,26.875,12.3822,20.5625,17.0625,9.125,9.125,,25.438,,32.6563,32.6563,,6.3125,50.25,18.75,8.25,,4.1133,4.1133,,8.6172,12.8,41.1,5.095,2384.21, 106.8 ,127699,9526.4,77.1889,0.513157895,,182811.7924,40758.60754,1019.71,997.649417
2/26/1999,16.8438,11.25,,32.25,,,12.5833,25.906,25.906,44.5239,,17.5,2.25,31.9375,16.1719,16.1667,,50.1875,26.5,34.5,2.9395,13.031,36.1875,,7.6875,20.9375,13.25,10.5293,12.6146,17.4688,,21.9063,21.9063,94.5,18.875,37.688,47.3438,13.7813,,,14.8281,18.375,0.9854,41.1667,13.3889,839.9958,,,51.5938,,19.0625,,22.25,22.4511,16.7832,,23.0709,26.375,,41.0417,42.5,4.037,68,12.8955,,,33.75,10.291,35.3125,8.6968,33.8125,38.375,,,47,9.4375,32.5,,,,7.1563,30.9375,,51.313,30.961,,0.043,9.0558,21.4,21.4,19.9375,,73.5514,6.2793,35.4063,37.5627,,37.5313,37.5313,85.8363,47.575,25.563,34.0625,68.8712,5.1953,28.8125,,7.3758,10.5,,26.3518,26.3518,26.3518,20.8438,20.8438,12.1389,,154.2707,43,,5.6563,287.5,287.5,6.4038,34.9375,40.5625,,,5.2966,6.4297,17.25,14.6667,,8.125,18.1372,10.1924,6.6797,206.249,,14.625,28.264,3.9991,19.375,19.375,,145.1563,27.625,10.5,10.5,44.6875,44.6875,11.1406,0.0457,0.0457,43,42.5,,,,15.0313,31,10.5614,54.625,23.9375,39.7959,5.8273,33.125,31.0625,9.3125,9.3125,9.3125,0.732,10.375,31.8125,7.1943,,32.5984,32.5984,18.8333,18.8333,5.9259,,61.6642,5.5144,5.5144,31.5,28.7883,9.25,10.125,10.125,10.9375,19,37.563,,7.875,41.69,,,44.75,33.9375,10.7083,24.75,6.0156,,21,,17.7188,17.7188,52.0625,12.7169,36.125,26.031,11.8022,18,23.875,8.375,8.375,,25.5,,38.4375,38.4375,,6.0625,51.0625,18,5.188,,4.5625,4.5625,,7.2656,13.25,41.1,5.086,2391.18, 110.2 ,128118,9569.7,74.2411,0.637368421,,181261.6145,39744.29674,986.17,970.419053
3/31/1999,16.3125,11.2813,,30.3125,,,12.2917,24.281,24.281,45.1718,,16.8125,1.9688,30.6875,14.9688,15.9167,,50,25.125,35.4375,3.5839,12.438,30.4375,,5.8125,20,14.9375,10.1603,11.6014,18.0313,,25.625,25.625,84.875,22.4583,37.75,49.4375,13.3125,,,15.125,18.625,0.9667,46.8333,13.4444,1092.182,,,55.9375,,20.0625,,21.375,21.0045,15.6759,,24.8286,24.9375,,38.6667,45.313,5.1296,66,13.4132,,,31.4375,13.0654,35.9375,6.6732,35.1875,44.25,,,30.6875,8.4063,30,,,,7.25,26.625,,57.063,29.576,,0.038,8.1445,23.5,23.5,20.4375,,72.3105,8.3471,37.125,41.4798,,44.8125,44.8125,89.5019,47.9,24.75,35.0625,72.5728,5.8997,24.0938,,8.9535,9.875,,30.3631,30.3631,30.3631,27.0625,27.0625,12.1944,,136.4078,40.1875,,7.25,454.6875,454.6875,5.3895,33.1875,34.0625,,,7.5899,6.6563,17.5,14.0833,,11.3125,16.6016,10.6099,7.2109,203.4365,,13.4375,27.159,5.2101,25.1875,25.1875,,155.3125,26.375,12.6563,12.6563,44.4063,44.4063,11.0156,0.044,0.044,42.125,47.5,,,,18.3125,28.5,10.168,62.25,25,38.3787,5.4169,39.9688,32.25,6.6094,6.5938,6.5938,0.746,10.375,31.8125,8.6332,,30.9616,30.9616,21.0833,21.0833,6.2963,10.8438,62.2131,5.4239,5.4239,31.0625,28.1658,10.063,10.8125,10.8125,11.1875,19.0938,39.188,,8.0313,43.8426,,,48.9688,32.3125,11.9583,22.8333,5.2031,,20.75,,17.7969,17.7969,55.5625,11.3319,36.375,25.625,11.4832,17.25,20.1875,7.25,7.25,,25,,49.375,49.375,,6.75,55,16.9583,7.75,,7.7734,7.7734,,8.3906,13.76,41.2,5.576,2344.66, 147.3 ,128234,9574.7,81.0226,0.579130435,,185793.0196,42031.87947,1007.09,967.408227
4/30/1999,16.5313,12.1563,,30.9375,,,13.0833,24.813,24.813,57.7751,,14.75,2.25,34.0313,13.5781,18.6667,,54.125,26.75,33.2188,3.7451,12.198,34.375,,6.3125,23.0625,13.8906,10.9834,14.0078,25.875,,28.4375,28.4375,73.625,23.25,43.063,48.0313,14.4688,,,13.1875,21,1.05,40.25,14.4722,1350.9307,,,61.75,,23.3438,,23.8125,23.6662,19.5221,,25.8174,25.875,,44.8333,42.375,5.1852,35,13.8368,,,36.6875,14.9687,35.9688,8.2488,37.1563,42.0938,,,13.25,11,32.25,,,,7.5781,35.0625,,61.813,37.205,,0.056,8.1155,25.8,25.8,25,,63.5114,9.4853,38.2813,41.1685,,40.6563,40.6563,97.7496,55.9,26.125,48.5625,74.2933,8.0571,18.625,,10.1266,9.875,,31.505,31.505,31.505,28,28,10.0833,,197.5747,52.3125,,8.0156,512.5,514.0625,5.8807,35.875,35,,,8.5728,7.0469,24.0625,15,,13.4375,17.0996,10.9046,7.7734,215.6239,,13.375,29.001,5.8579,22.25,22.25,,170.4688,33,12.5781,12.5781,46.5625,46.5625,14.6719,0.038,0.038,48.125,47.4375,,,,20.4688,34.5,11.318,64.5625,29,42.8571,6.1145,36.25,40.25,6.7656,6.7656,6.7656,0.763,10.375,35.625,9.6824,,30.1547,33.5667,22.6944,22.6944,6.6667,10.5313,68.2514,7.3745,7.3745,31.0625,34.3903,10.688,9.0156,9.0156,14.125,20,36.938,,9.3125,36.3578,,,46.9063,37.375,11.9583,31.2917,5.6563,,22,,23.9688,23.9688,57.875,15.7808,38.8125,32.469,12.9621,16.6875,20.625,7.625,7.625,,27.875,,32.6563,32.6563,,8.75,64.5313,19.2083,11.688,,12.5,12.5,,8.7422,14.62,41.2,5.625,2410.24, 144.6 ,128596,9556.6,83.9973,0.543333333,,202167.7393,42148.68612,1049.97,1064.030284
5/31/1999,18,12.0625,,34.75,,,13.3125,22.75,22.75,55.1838,,15.375,2.5,34.25,14.6406,18.4167,,52.875,27,34.0938,3.5368,13.552,34.8125,,7,26.375,13.6563,10.2739,15.325,24.6875,,26.5,26.5,71.438,22.5417,40.438,50.875,15.0938,,,12.9219,20.25,0.925,38.3125,14.25,1177.4941,,,68.0625,,27.25,,22.75,24.4763,17.7447,,25.1033,26.4375,,45.5417,38.5,6.5,34.063,13.1779,,,34.9375,13.2267,35.5,9.2065,35.6875,42,,,14.6875,10.5,29.125,,,,7.5938,34.625,,60.625,35.847,,0.05,8.9257,24.5,24.5,20.9375,,61.0296,9.087,36.375,40.053,,40.3438,40.3438,101.1861,52.7,24.75,48.125,69,7.1854,18.9375,,10.5851,8.8125,,22.8675,22.8675,22.8675,26.7188,26.7188,11.2778,,184.5835,49.375,,6.625,500,500,5.4305,33.0938,40.4375,,,7.9175,7.2734,17.8125,14.2083,,12.6875,20.586,10.9783,7.6172,198.749,,14.875,30.646,5.4355,23.5,23.5,,187.5,32.875,11.7891,11.7891,45.1875,45.1875,12.4844,0.0355,0.0355,48.125,40.5,,,,18.4375,34.125,11.5903,66.0625,30.5,40.7596,6.5659,35,39.625,6.2031,6.2031,6.2031,0.734,10.375,39.375,10.132,,28.4026,33.5667,19.75,19.75,6.3492,11.5938,62.2131,7.4156,7.4156,33.75,32.6786,10.125,9.1563,9.1563,11.125,20.9688,35.5,,9,33.8102,,,46.6875,38.5,11.6979,29.125,5.9531,,22.5,,24.2813,24.2813,57.25,14.8155,41.875,30.344,14.006,18.1875,21.125,9.1875,9.1875,,29.188,,34.6875,34.6875,,8.75,47.9375,22.625,10.875,,12.1563,12.1563,,13.7188,13.07,41.4,5.662,2663.08, 153.2 ,128813,9577.7,78.5584,0.582,,198519.5926,40978.8715,1047.12,1045.278656
6/30/1999,18.25,12.4375,,32.125,,,13.25,32.438,32.438,53.7114,,16.5,2.6875,31,13.9688,20.4167,,55.0625,26.375,38.4375,4.0123,13.188,34.5625,,7.375,27.8125,15.5313,10.8982,15.8822,24.4688,,33.625,33.625,71.625,25.6667,37.25,52.3125,14.1875,,,14.1719,23.875,1.5563,39.75,13.8333,900.933,,,65.5,,26.4688,,23.125,24.3027,17.4242,,25.3779,26.125,,43.1667,41.125,7.0185,32.188,13.3426,,,34.625,14.5816,38.9375,10.0098,36.375,39.75,,,14.6875,12.25,30.375,,,,7.8906,36.375,,59,36.343,,0.046,9.3018,29.6,29.6,17.375,,66.4445,9.8837,37.8438,42.5953,,45.0938,45.0938,115.7721,55,25.5,48.625,66,8.7968,20.25,,10.5311,8.375,,29.7482,29.7482,29.7482,33.25,33.25,11.7778,,160.225,50,,7.0469,609.375,610.9375,5.3486,32.75,38.8125,,,8.6001,6.8281,19.875,14.25,,14.2188,19.5625,10.1433,7.9219,178.5929,,16.0625,30.079,6.3085,26.5,26.5,,217.0313,30.125,13.9688,13.9688,48.5,48.5,11.8594,0.0398,0.0398,52.188,46.375,,,,25.0938,36.8125,11.4995,66.375,32.6875,39.881,6.9489,40,42.875,9.2813,9.2813,9.2813,0.84,10.375,34.375,10.132,,32.4601,33.5667,21.25,21.25,6.4418,11.5625,62.7011,7.0288,7.0288,32.4375,36.4651,10.625,8.6875,8.6875,11.75,20.4063,38.688,,10.25,34.4421,,,44.625,37.6875,12.0833,30.5,5.7656,,23.5,,29.4688,29.4688,57.625,15.3611,40.25,29.531,14.267,18.375,27.5,7.625,7.625,,28,,34.6875,34.6875,,10,46.625,29.3333,11,,17.9375,17.9375,,16.5,12.49,41.5,5.828,2632, 149.4 ,129084,9612.4,82.5994,0.550454545,,204034.8128,44295.62412,1066.18,1072.987918
7/30/1999,19.4063,10.4063,,31.5,,,12.5,33.875,33.875,57.4806,,14.625,2,30.2813,13.2188,19,,53.8125,27.75,38.0313,3.4739,11.688,34.4375,,6.125,25.625,13.4375,8.8832,12.2853,23.0625,,30.6875,30.6875,65.688,23.3333,34.813,50,14.4375,,,13.1875,21.9375,1.8458,42.75,12.3333,794.996,,,63,,25.6563,,21.875,22.5668,16.3461,,26.147,23.625,,38.25,41.688,7.4259,31.063,11.9542,,,36,14.5494,36.0313,9.9016,33.75,34,,,17.5,11.2969,27.938,,,,8.2656,33.875,,54.438,36.761,,0.056,8.6219,27.95,27.95,18.25,,61.0296,9.2198,38,37.4589,,42.9063,42.9063,111.4956,53.95,28.938,49.3125,61.125,8.7836,30.8125,,10.6795,8.3125,,21.9891,21.9891,21.9891,32.0313,32.0313,10.1667,,148.3164,44.375,,7.3125,582.8125,582.8125,5.6943,29.75,34.6875,,,9.9106,6.7422,18.5,13.75,,14.4688,18.75,10.1924,6.5,184.6866,,15.75,32.715,7.1816,25.75,25.75,,221.5625,29.25,13.625,13.625,43.5,43.5,12.125,0.0419,0.0419,56.25,43.25,,,,26.7813,39.3125,11.6206,68.0625,24.9375,39.8214,6.9626,35.4375,38.75,9.5156,9.5156,9.5156,0.71,10.375,30.875,9.3826,,30.9386,33.5667,18.7083,18.7083,6.1243,11.8125,62.0911,7.5473,7.5473,31.625,33.6641,9.844,9.8281,9.8281,10.1875,20.1563,38.938,,7.5625,32.1118,,,45.2813,36.8125,10.6458,31.4583,5.6719,,22.5,,39.125,39.125,52.875,14.5846,39.9375,29.813,13.4261,18.25,23,9,9,,25.688,,35.3125,35.3125,,8.5,45.5,20.7083,11.625,,19.5,19.5,,20.8594,12.1,40.9,5.963,2726.34, 152.6 ,129421,9639.2,83.7279,0.574761905,,198386.3537,42814.08672,1040.91,1038.273465
8/31/1999,18.5313,10.2188,,29,,,12.4167,31.406,31.406,53.6525,,12.5625,1.7188,29.9063,11.5625,16.4583,,53.9375,29.5,35.625,2.9119,13.083,31.4375,,6.25,22.125,13.4375,8.6278,10.6388,23.5,,31.4688,31.4688,74.625,25.4583,37,46.875,14.4688,,,11.3125,18.5,1.8813,39.3125,11.125,896.2455,,,78.75,,23,,21.8125,23.2033,15.9673,,24.8836,21.375,,34.5833,41.375,8.1111,31.25,9.8599,,,34.6875,11.6459,39.1094,10.226,33.375,37.375,,,16.875,12.2813,22.625,,,,8,32.0625,,45.625,39.505,,0.05,8.6653,25.65,25.65,15.9375,,60.6348,9.4474,36.4063,35.6171,,46.2813,46.2813,112.7175,46.4,26.625,43.4375,66.25,7.8326,37.4375,,10.9491,9.3125,,25.9419,25.9419,25.9419,33.6563,33.6563,8.8056,,155.8946,48.625,,7.75,675,675,5.667,27.625,36.125,,,10.7569,6.75,20.4375,12.0833,,15.1875,17.75,9.3328,5.8438,247.03,,15.125,32.885,7.6603,23.6875,23.6875,,205.3125,26.1875,16.4219,16.4219,42.4063,42.4063,11.6406,0.0586,0.0586,57.75,41,,,,28.9063,39.0625,11.4995,66.8125,24.75,37.619,6.7985,37.6875,36.375,9.125,9.125,9.125,0.638,10.375,28.125,10.4018,,31.0308,33.5667,19.625,19.625,5.5556,9.4688,57.5776,7.2593,7.2593,30.3125,32.0561,8.875,10.25,10.25,10.375,20.5,34.125,,4.8125,35.7851,,,49.625,36.4375,8.5,29.1667,5.7813,,21.5,,46.5,46.5,52.3125,15.2771,38,30.031,12.9911,20.4375,27.125,7.9375,7.9375,,26,,35,35,,8.5,38.8125,14.9583,11.375,,24.0234,24.0234,,21.7656,11.53,41.5,6.103,2650.26, 152.9 ,129572,9681.7,88.2114,0.668181818,,191893.2304,42620.60088,1026.69,990.662663
9/30/1999,15.5,10.3125,,25.8125,,,11.9167,32.5,32.5,49.7066,,11.6875,1.6875,24.125,11.0313,15.2083,,55,28.625,33.0625,2.9237,11.698,29.875,,6.75,19.6875,14.5938,7.2371,11.1961,23,,29.3906,29.3906,64.188,25.5417,32.688,37.5625,13.8438,,,12.1875,15.625,2.0333,40.625,10.125,783.2773,,,80.5,,21.8438,,21.5,21.4095,15.2389,,27.2456,19,,31.0833,43.25,7.6111,29,11.2483,,,36.3125,10.4523,35.5625,9.948,33.625,33.6875,,,19.125,12.7813,19.938,,,,8.2656,30.1875,,39.938,40.158,,0.053,7.913,29.1,29.1,14.5625,,58.4914,8.8783,34.25,37.0179,,45.2813,45.2813,107.5245,45.9,29.625,47.75,62.9375,7.2118,33.25,,11.6638,10,,28.5185,28.5185,28.5185,31.5469,31.5469,8.1667,,153.7294,46.5,,7.25,625,625,5.0848,26.6875,33.4375,,,9.5556,6.2969,25.875,13,,16.4688,15,8.6942,7.1094,227.8114,,15.5625,28.831,7.4069,20.6875,20.6875,,255,24.5,17.9063,17.9063,41.75,41.75,11.9063,0.0401,0.0401,50.5,28.5625,,,,33.9063,37.5,11.1969,61.875,19.8125,35.3571,6.6343,39.5938,36.4375,11.375,11.375,11.375,0.794,10.375,21.6875,11.0913,,31.1691,33.5667,22.75,22.75,5,8.5313,59.4684,6.6996,6.6996,25.875,34.1828,7.625,12.3906,12.3906,14.875,19.3125,30.5,,3.7188,34.0077,,,46.875,35.1875,6.8073,29.875,5.4375,,21.1875,,46.25,46.25,52.6875,13.4724,36.375,30,12.5561,20.125,26,7.875,7.875,,25.188,,33.75,33.75,,8.875,39.5938,19.5417,10.625,,23.6484,23.6484,,17.4531,12.39,41.3,6.059,2568.46, 140.3 ,129772,9676.6,92.4352,0.649047619,,183038.1145,42511.74026,988.65,950.175369
10/29/1999,20,10.0313,,27.9375,,,11.375,39.594,39.594,59.3652,,10.0625,1.4063,29.5,10.4063,18.4167,,63.5,28.125,37.4375,2.9827,11.813,27.25,,6.125,22.1875,18.4219,7.4642,9.0937,23.375,,34.9688,34.9688,68.875,24.25,20,46.125,13.5938,,,13.8438,12.6875,2.8146,40.4375,11.2083,1025.6199,,,78.5,,21.3438,,22.125,18.5163,15.7051,,26.8061,13.4375,,38.0417,41.25,9.8704,20.063,11.06,,,35.6875,9.3555,34.375,9.8553,36.9375,39.25,,,18.3125,12.75,22.938,,,,7.8438,33.9375,,38.938,39.74,,0.042,6.1047,29.2,29.2,12.75,,71.8029,8.8403,39.5313,45.786,,46.2813,46.2813,118.9032,49.55,29.813,59.75,70.4375,6.3136,35.6563,,12.0953,8.375,,29.2505,29.2505,29.2505,39.4688,39.4688,7.9722,,142.3621,42,,6.3281,567.1875,567.1875,3.3747,29.5,32.5625,,,9.6922,6.2891,21.9375,13.75,,14.7188,12.8125,8.0557,7,206.7177,,15.75,24.891,6.1114,20.0625,20.0625,,309.6875,24.4375,18.5,18.5,48.2813,48.2813,12.9688,0.0461,0.0461,41,34.625,,,,43.0938,40.25,10.8943,70,23.9375,38.8095,6.3881,44,35.6875,11.8906,11.8906,11.8906,0.727,10.375,20.5,10.9414,,33.0134,33.5667,26.25,26.25,5.3571,9.0938,44.4641,6.2058,6.2058,22.9375,35.0128,7.375,11.2656,11.2656,12.375,19.7813,34.688,,3.875,37.6217,,,52.4375,38,7.7135,30.5417,5.0313,,19.875,,47.125,47.125,59.625,12.633,36.875,30.313,12.5561,20.625,22.3125,7.5625,7.5625,,24.125,,47.6563,47.6563,13.75,8,54.5,18.5833,9.375,,27.8438,27.8438,,26.0313,12.17,41.6,6.051,2479.31, 142.9 ,130178,9739.5,88.4234,0.633809524,,193321.4911,46027.54094,1044.86,985.623258
